Matches,RecursiveCalls,TotalTime,SearchTime
21,14,0.318167,0.004208
36,23,0.474834,0.007792
32,15,0.238792,0.0035
20,40,0.255999,0.007667
46,97,0.431291,0.033417
20,21,0.265459,0.00375
20,18,0.283209,0.006125
23,17,0.250416,0.004125
24,135,0.717541,0.053375
21,15,0.280334,0.004292
20,17,0.340375,0.005042
22,16,0.252542,0.004417
20,46,0.328375,0.00625
24,19,0.2805,0.005209
22,20,0.331666,0.007
20,45,0.457999,0.012166
20,25,0.228458,0.004791
20,45,0.289168,0.009084
20,15,0.262166,0.0035
20,15,0.259541,0.004875
22,14,0.346001,0.004167
20,42,0.324291,0.00825
20,27,0.266418,0.006667
20,17,0.2435,0.004625
28,15,0.297417,0.004167
20,18,0.220249,0.003875
364,16,0.615959,0.007125
20,17,0.234667,0.003292
21,21,0.464834,0.008
36,14,0.25521,0.003125
20,17,0.226667,0.003833
7,18,0.326874,0.004791
20,42,0.578583,0.015917
44,24,0.242542,0.005875
184,137,1.39271,0.086375
20,20,0.217917,0.006042
29,21,0.283418,0.006125
20,17,0.208791,0.003125
20,342,0.46075,0.088875
20,19,0.3215,0.004042
20,33,0.341125,0.009417
26,35,0.364917,0.008917
20,25,0.392,0.008583
27,660,0.866793,0.216125
26,16,0.316918,0.004042
20,17,0.232125,0.003417
10,28,0.22071,0.005834
24,15,0.233334,0.003667
56,25,0.374792,0.007917
23,17727,4.56075,4.03092
957,17,0.428417,0.005625
20,18,0.1715,0.003583
20,73,0.325374,0.019583
153,14,0.225416,0.002708
20,19,0.240209,0.003959
20,15,0.371209,0.003792
32,14,0.234167,0.00625
20,18,0.252251,0.0045
20,19,0.247709,0.005209
174,115,0.527834,0.037125
24,15,0.259166,0.004208
25,14,0.29575,0.003875
20,19,0.214291,0.00375
20,53,0.174333,0.009833
20,48,0.205583,0.008416
29,1663,1.55042,0.563167
20,24,0.245,0.005458
20,16,0.278042,0.004917
14,15,0.302624,0.003666
30,15,0.318542,0.003917
20,374,0.951875,0.141125
20,25,0.210583,0.004542
20,21,0.228291,0.004625
20,36,0.274042,0.006959
20,17,0.638959,0.003917
20,15,0.266626,0.003959
20,26,0.976793,0.013834
24,23,0.221918,0.006959
20,17,0.340084,0.00475
20,24,0.321876,0.005334
22,15,0.216958,0.002459
20,18,0.175083,0.00325
20,61,0.383292,0.012166
23,14,0.262167,0.004167
25,16,0.394707,0.003708
21,20,0.423667,0.00875
20,30,0.345333,0.008625
22,22,0.378958,0.007167
22,14,0.324542,0.005333
20,23,0.27875,0.005084
20,22,0.552417,0.0055
29,29,0.320916,0.011041
20,15,0.254041,0.003583
21,43,0.273959,0.009125
36,14,0.383915,0.004416
20,181,0.591915,0.048541
20,17,0.303875,0.004375
24,15,0.374917,0.005875
22,141,0.84804,0.080333
20,16,0.228208,0.004
20,82,0.291624,0.0125
20,22,0.265542,0.005084
20,474,0.613707,0.133458
20,32,0.230542,0.008958
21,16,0.265458,0.00425
36,23,0.521959,0.008042
20,18,0.252416,0.004791
27,15,0.591668,0.005709
20,52,0.325416,0.009542
20,22,0.240418,0.005375
21,16,0.525085,0.004167
20,19,0.28475,0.003542
25,15,0.307875,0.004375
27,16,0.276667,0.004792
20,17,0.296876,0.005125
20,22,0.229417,0.004833
21,93,0.470874,0.033208
175,14,0.2205,0.003667
20,711,0.732208,0.2475
20,18,0.361501,0.005542
22,17,0.330375,0.003791
20,15,0.249543,0.003625
20,20,0.31975,0.004667
28,17,0.195749,0.003833
90,14,0.202876,0.003
15,32,0.195084,0.006084
48,14,0.252792,0.003125
30,16,0.284208,0.004083
20,24,0.389916,0.008583
20,24,0.276169,0.005459
23,15,0.189167,0.003125
20,18,0.238542,0.005458
25,15,0.237084,0.003834
20,32,0.188042,0.004208
21,20,0.221457,0.004625
31,16,0.320999,0.003416
20,43,0.2305,0.008792
20,18,0.382626,0.004667
21,68,0.635665,0.025125
20,27,0.330042,0.005541
20,18,0.321084,0.005167
22,184,1.13933,0.084792
24,14,0.206708,0.003292
21,30,0.630416,0.010375
20,27,0.378709,0.01075
20,70,0.428957,0.015416
20,15,0.231833,0.004666
41,15,0.23825,0.003334
37,26,0.278708,0.007292
20,29,0.234125,0.00725
20,18,0.262875,0.005542
20,64,0.273333,0.015
25,44,0.602168,0.014792
20,15,0.292709,0.004625
20,31,0.387709,0.007875
20,22,0.351125,0.006083
20,32,0.269084,0.004834
20,47,0.351083,0.007
27,36,0.45725,0.011292
20,25,0.313791,0.006209
20,18,0.460042,0.008292
20,23,0.290833,0.005
20,17,0.327457,0.006166
252,14,0.436874,0.004416
21,15,1.50229,0.003625
96,14,0.269833,0.004
24,27,0.572249,0.010708
20,17,0.224291,0.00475
22,396,0.974292,0.13
20,19,0.250124,0.004708
20,1529,0.998875,0.380625
22,17,0.228124,0.003875
25,15,0.256873,0.004208
20,42,0.249666,0.009875
26,24,0.2825,0.007083
24,21,0.265625,0.006375
20,41,0.343333,0.007916
36,16,0.415333,0.00625
24,193,0.773791,0.066875
20,20,0.386208,0.005958
20,20,0.490917,0.008667
26,71,1.18958,0.040792
20,42,0.632041,0.0185
20,39,0.302165,0.009375
20,18,0.246959,0.003458
31,18,0.239043,0.004667
27,16,0.09675,0.003875
6,16,0.429834,0.003709
27,14,0.235625,0.003166
20,34,0.257041,0.009666
170,14,0.230084,0.0025
32,32,0.51325,0.011792
408,14,0.282292,0.004833
72,64,0.681041,0.035708
21,2456,2.00375,1.26596
21,1097,1.25792,0.491917
20,58,0.283001,0.013042
24,14,0.217292,0.004459
63,14,0.241668,0.003459
23,15,0.605208,0.006417
99,22,0.280583,0.00475
28,316,0.693542,0.075667
20,38,0.247875,0.006458
26,23,0.292375,0.003791
20,35,0.266668,0.009542
20,23,0.149584,0.005292
21,25,0.323209,0.009042
102,22,0.124708,0.004625
20,41,0.216292,0.005667
8,64,0.222749,0.01275
33,23,0.432792,0.005125
20,24,0.333458,0.006166
20,28,0.703376,0.009292
25,23,0.215417,0.004708
28,23,0.327251,0.005542
264,22,0.295292,0.00425
20,26,0.327875,0.007125
29,27,0.424874,0.006833
20,32,0.9815,0.014
20,25,0.288375,0.0045
20,37,0.360375,0.009875
20,27,0.266,0.00375
21,23,0.277959,0.005208
20,39,1.05483,0.023
20,26,0.339709,0.004667
20,60,0.399542,0.012458
23,65,0.424291,0.015292
20,38,0.190541,0.005041
27,25,0.262917,0.005292
20,24,0.306166,0.004416
20,25,0.226001,0.004292
20,177,0.574291,0.043958
21,26,0.125,0.004583
20,28,0.272292,0.005375
20,29,0.203083,0.006958
20,24,0.340499,0.006083
22,27,0.394,0.006583
21,116,0.504624,0.044208
24,23,0.427416,0.004708
30,22,0.403084,0.006042
29,66,0.849793,0.019
20,23,0.254208,0.005542
20,30,0.41425,0.006334
20,39,0.340749,0.007333
21,23,0.289541,0.003917
20,34,0.236667,0.005417
20,642,0.622541,0.146125
66,22,0.223417,0.005042
20,28,0.494084,0.007292
20,23,0.433,0.006166
20,25,0.30125,0.006209
20,105,0.410125,0.020792
20,29,0.265458,0.007416
20,26,0.23975,0.005084
21,23,0.233583,0.004792
20,38,0.255625,0.006292
20,26,0.259291,0.005375
20,26,0.286916,0.004583
16,39,0.252416,0.007791
10,41,0.223458,0.006583
33,28,0.297626,0.006542
30,23,0.339291,0.004958
22,26,0.379834,0.007292
23,30,0.330249,0.007875
26,26,0.307874,0.005708
20,23,0.257918,0.004959
27,23,0.679416,0.007083
20,28,0.540457,0.008916
24,23,0.221834,0.005084
20,34,0.576833,0.011417
34,23,0.265125,0.005708
21,23,0.24721,0.005084
20,28,0.318542,0.00675
20,27,0.299752,0.005917
20,35,0.346833,0.00775
270,22,0.39675,0.005375
20,32,0.265792,0.00625
162,23,0.555876,0.006209
21,31,0.44125,0.010417
20,25,0.278043,0.006834
22,22,0.269916,0.005166
24,23,0.335208,0.006791
24,25,0.278459,0.009042
20,34,0.242124,0.005708
20,28,0.2995,0.005542
20,39,0.2725,0.007667
32,23,0.489875,0.006166
72,24,0.282459,0.006917
20,100,0.288708,0.034208
20,23,0.314751,0.005667
147,22,0.1455,0.004834
34,24,0.268959,0.006209
20,22,0.276916,0.004917
24,23,0.276916,0.006708
22,44,0.434417,0.0115
29,23,0.290292,0.00525
21,23,0.273,0.004792
20,59,0.238375,0.0085
20,39,0.236916,0.008
30,49,0.303126,0.015083
20,39,0.268751,0.009417
21,91,0.246459,0.011167
20,30,0.239583,0.006417
30,24,0.2955,0.005417
30,36,0.485584,0.012458
55,25,0.296001,0.005958
22,23,0.36804,0.005166
20,24,0.310833,0.006125
21,31,0.282,0.00775
27,23,0.439583,0.004583
28,24,0.324043,0.00525
20,38,0.599708,0.0085
27,23,0.229999,0.005917
28,22,0.332375,0.0045
20,29,0.248499,0.004875
20,47,0.476416,0.014834
20,28,0.339917,0.005042
27,40,0.492126,0.015666
20,43,0.82625,0.011875
20,26,0.312415,0.005916
20,51,0.334376,0.010292
21,23,0.309208,0.005166
30,22,0.172875,0.005166
35,23,0.141709,0.005042
20,31,0.341958,0.008875
20,23,0.29446,0.005834
35,23,0.281792,0.004042
20,28,0.213126,0.005584
125,23,0.22425,0.005625
100,33,0.485125,0.012625
20,25,0.500625,0.009
20,27,0.243001,0.004834
26,23,0.305249,0.005291
31,1417,1.49475,0.37775
20,27,0.293792,0.005625
20,26,0.233917,0.005709
27,26,0.231166,0.005625
20,41,0.419583,0.009542
34,23,0.430624,0.004958
20,28,0.274001,0.004875
25,23,0.285541,0.005583
22,54,0.372208,0.013125
20,27,0.274166,0.004375
20,33,0.241874,0.007291
25,23,0.369833,0.005417
2,24,0.303,0.0065
20,26,0.248959,0.004959
20,23,0.330375,0.005292
20,25,0.316791,0.00575
20,76,0.598123,0.023291
34,23,0.297916,0.005041
20,23,0.260751,0.005125
20,107,0.343041,0.025417
20,26,0.266042,0.005375
20,27,0.221625,0.005959
3,25,0.239751,0.005542
20,28,0.323542,0.005541
27,22,0.310542,0.004917
20,76,0.719874,0.019375
20,35,0.45996,0.010584
20,63,0.725167,0.024917
27,64,0.470208,0.016416
20,28,0.269501,0.007084
27,22,0.265917,0.006042
36,31,0.30725,0.008875
20,27,0.3905,0.007083
20,69,0.273916,0.00975
30,22,0.605458,0.005584
26,28,0.266333,0.0055
32,23,0.264001,0.005375
34,23,0.357042,0.005333
20,24,0.315417,0.005875
21,23,0.319875,0.006
27,23,0.308499,0.005125
22,23,0.256708,0.004208
20,39,0.140959,0.005042
18,101,0.22425,0.020917
22,27,0.348542,0.007667
20,22,0.313457,0.006708
20,32,0.283042,0.008875
20,34,0.291001,0.005875
20,27,0.223416,0.005917
20,1447,1.1285,0.425209
21,25,0.175917,0.005375
20,43,0.349126,0.009167
20,3005,1.73325,0.893959
30,38,0.475167,0.012708
20,43,0.296166,0.009125
20,42,0.360666,0.008958
20,53,0.456792,0.015458
38,23,0.114875,0.004375
20,26,0.27525,0.005125
27,48,0.42675,0.019125
24,25,0.267875,0.004792
21,37,0.509207,0.011708
24,42,0.389917,0.012541
20,34,0.140916,0.006208
23,29,0.24525,0.005791
21,73,0.778416,0.04
20,25,0.267167,0.005917
20,42,0.402085,0.012917
21,31,0.180916,0.006375
20,97,0.156584,0.0125
21,39,0.3245,0.009917
22,49,0.321292,0.012042
20,31,0.248042,0.005125
21,71,0.214084,0.016042
20,36,0.240542,0.005959
20,42,0.230251,0.008792
20,31,0.145792,0.005916
20,86,0.573,0.023167
20,49,0.287708,0.011667
20,43,0.373332,0.009791
20,59,0.277251,0.009917
20,41,0.258208,0.010792
20,46,0.317043,0.00725
20,32,0.345376,0.008042
30,30,0.378001,0.006042
28,30,0.356292,0.006875
22,33,0.304708,0.008416
20,58,0.408084,0.009292
36,32,0.347709,0.008542
20,36,0.521,0.010875
22,31,0.301584,0.006917
20,34,0.160709,0.00675
21,30,0.137835,0.008209
125,30,0.327958,0.007333
20,34,0.528625,0.00725
20,103,0.799208,0.03325
20,40,0.626666,0.013625
20,33,0.315459,0.006167
55,30,0.325374,0.007292
20,35,0.346876,0.006917
32,33,0.480167,0.008917
28,46,0.453833,0.011459
21,32,0.37925,0.00775
27,80,0.584083,0.023958
20,37,0.151042,0.006417
20,56,0.200499,0.010666
20,261,0.599251,0.04525
20,34,0.220125,0.005625
20,43,0.365042,0.008
27,32,0.319792,0.007917
20,34,0.275123,0.005541
20,45,0.303625,0.007625
20,38,0.230166,0.009208
20,35,0.35025,0.008042
54,30,0.193124,0.0065
20,46,0.387,0.009084
20,30,0.305499,0.006292
20,66,0.503958,0.021
20,34,0.355667,0.007583
22,45,0.211124,0.009208
20,54,0.190958,0.010042
20,55,0.363584,0.014792
20,38,0.341792,0.00725
20,30,0.322,0.00775
21,42,0.310749,0.006916
20,45,0.488668,0.010125
33,31,0.402291,0.007
20,33,0.304668,0.005709
20,31,0.296584,0.006458
27,33,0.258458,0.006791
31,31,0.275874,0.006041
696,35,0.396,0.011375
20,33,0.369916,0.006875
20,66,0.6795,0.016334
20,34,0.205583,0.006708
26,36,0.447666,0.011333
20,58,0.288666,0.01
23,33,0.700334,0.014792
27,31,0.482833,0.006125
20,33,0.30425,0.005833
21,32,0.344833,0.008333
391,30,0.219416,0.009458
20,117,0.407583,0.01375
33,33,0.172085,0.006709
104,40,0.361624,0.008167
20,33,0.245125,0.0085
28,31,0.388209,0.006917
24,47,0.3025,0.010042
44,30,0.332208,0.006791
20,85,0.812917,0.019875
22,30,0.39579,0.013416
20,54,0.707708,0.016542
28,30,0.316542,0.005375
20,34,0.287957,0.008541
24,30,0.327124,0.005541
20,31,0.341959,0.007959
20,39,0.436832,0.0105
20,45,0.372417,0.008709
20,181,0.665834,0.052833
