Matches,Recursive calls,Total time,Search time
42,15,0.455208,0.003875
54,23,0.631585,0.007292
49,15,0.340792,0.004042
40,76,0.324959,0.014167
46,97,0.841082,0.036958
40,27,0.394125,0.004125
40,24,0.669667,0.005375
40,22,0.732166,0.005708
40,135,0.868375,0.060875
42,15,0.485375,0.005
40,24,0.472248,0.007041
44,16,0.43929,0.004875
40,73,0.506042,0.008875
42,19,0.404041,0.005958
50,21,0.408708,0.008791
40,49,0.419376,0.0125
40,38,0.417791,0.006
24,57,0.418208,0.011042
40,16,0.304292,0.004167
40,15,0.281166,0.004583
40,14,0.533916,0.004458
40,46,0.440166,0.00925
40,38,0.39371,0.008417
40,19,0.402708,0.005834
56,15,0.46975,0.004542
40,25,0.233458,0.005
364,16,0.762958,0.007416
40,19,0.353292,0.003833
43,21,0.615833,0.008583
54,14,0.392416,0.003708
40,20,0.324541,0.004458
7,18,0.297209,0.00475
40,44,0.835042,0.018375
44,24,0.377793,0.006334
184,137,2.86646,0.106208
40,28,0.395209,0.007584
58,21,0.360209,0.006667
40,20,0.388916,0.004541
40,348,0.532916,0.091958
40,23,0.429084,0.004375
40,42,0.438333,0.010166
52,38,0.383959,0.009417
40,32,0.483,0.009541
45,660,0.962501,0.223917
52,16,0.482335,0.004334
40,20,0.382375,0.004
10,28,0.357625,0.005833
48,15,0.371375,0.004083
56,25,0.580292,0.009708
69,17727,4.87933,4.20029
957,17,0.497124,0.006166
40,22,0.353417,0.004333
40,135,0.690042,0.034375
153,14,0.417625,0.003208
40,27,0.411167,0.005667
40,15,0.356666,0.004375
48,14,0.481001,0.006
40,24,0.372292,0.005209
40,23,0.38754,0.004791
174,115,0.660209,0.041375
40,15,0.294333,0.0045
65,14,0.488043,0.004292
40,24,0.397292,0.004709
40,81,0.487,0.0185
40,87,0.356125,0.01325
40,1663,1.75796,0.615125
40,33,0.359041,0.00725
41,18,0.463417,0.005791
14,15,0.420667,0.004625
45,15,0.329332,0.004291
40,387,1.12429,0.145792
40,41,0.36625,0.00625
40,32,0.388875,0.006458
40,53,0.403625,0.007958
40,20,0.389292,0.004417
40,15,0.391959,0.003959
40,26,1.15425,0.015084
42,23,0.3855,0.006542
40,19,0.358209,0.005417
40,29,0.416042,0.007084
51,15,0.242084,0.003667
40,21,0.361249,0.003625
40,69,0.527541,0.017666
44,14,0.370251,0.004125
50,16,0.345958,0.003958
42,21,0.442833,0.008708
40,39,0.835124,0.012459
42,24,0.42521,0.007209
44,14,0.319874,0.004083
40,29,0.279958,0.005959
40,27,0.611125,0.006375
40,29,0.474166,0.0115
40,16,0.235334,0.003583
40,59,0.250958,0.011708
72,16,0.534958,0.005458
40,213,0.651916,0.063958
40,20,0.332875,0.005209
41,15,0.786625,0.005291
44,141,1.47675,0.120334
40,17,0.428749,0.004375
38,95,0.502541,0.014083
42,25,0.523333,0.005917
40,475,0.581,0.1415
40,35,0.201375,0.010292
42,17,0.362583,0.004625
50,23,0.652499,0.010125
41,23,0.381082,0.005916
54,15,0.732251,0.007125
40,68,0.519666,0.012542
40,31,0.504167,0.007667
55,16,0.61775,0.005167
36,20,0.273625,0.004875
64,17,0.291832,0.004416
46,16,0.299541,0.005125
40,21,0.247414,0.005791
40,32,0.407667,0.006292
42,94,0.563584,0.035167
175,14,0.40225,0.004
40,713,0.931417,0.260292
42,18,0.522334,0.005834
49,19,0.268125,0.003916
40,15,0.356874,0.00375
40,25,0.414625,0.027209
48,17,0.230459,0.006167
90,14,0.334541,0.003208
15,32,0.336292,0.005417
48,14,0.259751,0.002792
45,16,0.303708,0.003875
40,28,0.584333,0.009833
40,33,0.373749,0.007625
41,15,0.28025,0.00375
40,23,0.413499,0.024916
50,15,0.404584,0.004208
40,58,0.275459,0.007417
42,26,0.262166,0.005916
62,17,0.361749,0.004292
40,49,0.348959,0.010375
40,21,0.527959,0.006792
42,70,0.891374,0.026916
40,43,0.428209,0.008584
41,20,0.36925,0.005958
48,187,1.18504,0.089458
40,16,0.2205,0.00375
42,30,0.802627,0.011584
40,28,0.513832,0.012
40,102,0.675458,0.032833
40,15,0.378041,0.004083
41,15,0.261625,0.003166
74,26,0.271833,0.006792
28,31,0.234209,0.008209
40,23,0.340875,0.00675
40,73,0.428041,0.016333
55,44,0.585291,0.014583
40,18,0.277459,0.005125
40,43,0.430458,0.01
40,29,0.356875,0.006792
40,52,0.387792,0.00625
40,98,0.461958,0.013125
47,36,0.51075,0.0115
40,38,0.421666,0.008375
40,21,0.279749,0.004375
40,44,0.400208,0.008166
40,24,0.344626,0.005834
252,14,0.443584,0.003834
47,15,0.286916,0.003958
96,14,0.424542,0.004208
40,28,0.630584,0.010708
40,20,0.267044,0.005584
42,406,1.20663,0.130709
40,26,0.522834,0.012625
40,1531,1.13717,0.4215
44,17,0.425333,0.004791
42,15,0.281292,0.004625
40,71,0.281918,0.011792
41,24,0.27875,0.007833
42,25,0.448042,0.007709
40,56,0.401458,0.010667
54,16,0.493792,0.007625
48,193,0.788416,0.063125
40,27,0.590374,0.007416
40,21,0.562209,0.008834
52,71,1.13892,0.0375
40,56,0.778833,0.01975
28,42,0.261917,0.01025
40,22,0.299792,0.004542
62,18,0.392458,0.005458
45,16,0.222417,0.0045
6,16,0.364291,0.004167
45,14,0.339374,0.004166
40,37,0.357668,0.010959
170,14,0.309667,0.002834
64,32,0.683958,0.012208
408,14,0.302585,0.005042
72,64,0.688543,0.036334
42,2458,2.00692,1.23096
24,1098,1.28513,0.51675
40,89,0.289876,0.019917
40,15,0.339165,0.00325
63,14,0.265792,0.003041
46,15,0.736334,0.007
99,22,0.299667,0.0045
42,316,0.829041,0.086791
40,52,0.331169,0.007792
52,23,0.36029,0.004208
40,37,0.494501,0.011167
40,23,0.157667,0.00625
40,25,0.301874,0.01075
102,22,0.263709,0.004541
40,46,0.255957,0.006333
8,64,0.150209,0.012042
66,23,0.356584,0.005709
40,26,0.3235,0.006666
40,35,0.710416,0.014708
41,23,0.312,0.005292
42,23,0.347125,0.005208
264,22,0.301375,0.003708
40,29,0.412833,0.007333
45,27,0.558042,0.007417
40,39,0.961876,0.014375
40,27,0.310166,0.005458
40,67,0.355876,0.018459
40,37,0.220375,0.00525
42,23,0.254958,0.004875
40,39,1.09029,0.02175
40,32,0.230209,0.005459
40,65,0.477791,0.013083
46,65,0.431084,0.015208
24,39,0.269958,0.006125
45,28,0.403334,0.006209
40,30,0.336376,0.005958
40,26,0.285083,0.004458
40,184,0.601416,0.048541
40,28,0.102959,0.005
40,35,0.3275,0.005917
40,35,0.252,0.007375
40,27,0.315874,0.006166
52,28,0.524,0.007083
42,121,0.53925,0.043125
40,23,0.374375,0.003875
41,22,0.601083,0.00725
45,66,0.831041,0.019208
41,25,0.436957,0.006333
40,38,0.356209,0.008125
40,64,0.33454,0.013583
41,23,0.401917,0.00575
40,44,0.268874,0.006791
40,644,0.630708,0.1565
66,22,0.357043,0.00425
40,43,0.498544,0.009667
40,25,0.593625,0.006375
40,27,0.469458,0.006125
40,169,0.463459,0.025959
40,30,0.258958,0.005125
40,31,0.265041,0.0055
42,24,0.2545,0.00475
40,57,0.279916,0.007625
40,32,0.295374,0.005958
40,28,0.49075,0.004833
16,39,0.313917,0.007375
10,41,0.281375,0.0065
66,28,0.320084,0.014667
43,23,0.231875,0.0045
43,26,0.495208,0.007083
55,34,0.211208,0.008833
52,26,0.26554,0.005458
40,24,0.342959,0.00475
45,23,0.503791,0.005458
40,29,0.64325,0.008375
48,24,0.105667,0.004959
40,34,0.545624,0.011
52,23,0.288666,0.0055
42,23,0.230084,0.004583
40,30,0.401626,0.005709
40,29,0.297959,0.005917
40,36,0.235333,0.008375
270,22,0.391167,0.005084
40,44,0.268917,0.006875
162,23,0.510791,0.006
42,32,0.512167,0.011958
40,26,0.259958,0.006459
48,22,0.2635,0.004625
48,23,0.456542,0.006459
40,25,0.293667,0.006417
40,50,0.248377,0.007375
40,36,0.16046,0.006334
40,57,0.142209,0.009625
48,23,0.291333,0.006417
72,24,0.4035,0.005958
40,129,0.431709,0.022292
40,24,0.203707,0.005208
147,22,0.271583,0.004166
68,24,0.319084,0.0055
40,23,0.324375,0.004791
48,23,0.309082,0.004875
40,45,0.36225,0.0115
58,25,0.250791,0.0055
42,23,0.288042,0.004958
40,101,0.44825,0.011417
40,47,0.342541,0.008792
47,49,0.519501,0.016542
40,46,0.391374,0.009583
40,157,0.254668,0.014834
40,40,0.251001,0.007292
45,25,0.261875,0.004667
46,38,0.399665,0.012333
55,25,0.273459,0.005
40,24,0.469249,0.004958
40,25,0.281667,0.005792
42,34,0.319667,0.008625
45,23,0.405332,0.005208
56,24,0.328833,0.006042
40,52,0.705667,0.01025
54,23,0.439458,0.006125
56,22,0.309874,0.004416
40,35,0.143584,0.005
40,53,0.648251,0.015542
40,33,0.388917,0.004875
45,42,0.488833,0.015209
40,66,0.74825,0.014875
40,29,0.151043,0.006125
40,68,0.341625,0.011833
45,25,0.309665,0.006166
60,22,0.185541,0.009416
52,23,0.113334,0.004917
40,37,0.334833,0.010291
40,24,0.40125,0.005958
70,23,0.268583,0.004583
40,36,0.186543,0.007167
125,23,0.434667,0.005459
100,33,0.622082,0.01725
40,26,0.481625,0.009167
40,32,0.222876,0.005334
41,23,0.296876,0.005292
62,1421,1.58571,0.3935
40,33,0.296249,0.006791
40,31,0.276625,0.0065
45,27,0.225168,0.005292
40,49,0.380916,0.012667
55,23,0.424582,0.005208
40,33,0.270125,0.005
41,23,0.292875,0.005542
44,54,0.490292,0.015917
40,32,0.300166,0.005042
40,39,0.306457,0.007791
50,24,0.215458,0.005208
2,24,0.34446,0.006584
40,32,0.263958,0.006
45,23,0.40671,0.005084
40,30,0.491293,0.00775
47,82,0.746584,0.024042
51,23,0.171167,0.004917
40,26,0.434666,0.005625
40,108,0.39475,0.025542
40,30,0.301042,0.01075
40,31,0.225042,0.006292
3,25,0.370416,0.005583
40,33,0.300373,0.006083
45,22,0.134583,0.005
40,94,0.686,0.022792
40,45,0.431166,0.011125
40,80,0.734625,0.0265
45,64,0.562999,0.016583
40,32,0.272083,0.00775
45,22,0.187958,0.005791
54,31,0.349501,0.00825
40,29,0.561917,0.007209
40,86,0.410666,0.011208
45,22,0.626625,0.005542
45,28,0.279041,0.005208
48,23,0.250167,0.005167
68,23,0.3865,0.005
40,25,0.311,0.006083
42,24,0.408167,0.006167
45,23,0.2925,0.005042
40,24,0.300583,0.005125
40,57,0.357875,0.006
18,101,0.290835,0.021334
44,29,0.342667,0.008125
42,22,0.360832,0.006291
40,37,0.340501,0.009792
40,45,0.321584,0.006917
40,29,0.291124,0.007042
40,1479,1.12983,0.4355
42,28,0.146333,0.006416
40,60,0.339542,0.00975
40,3008,1.56629,0.850625
50,39,0.457792,0.013458
40,45,0.341083,0.010125
40,53,0.374999,0.009958
40,54,0.47075,0.01625
57,23,0.114625,0.004917
40,28,0.249377,0.005459
45,48,0.472917,0.01725
40,25,0.305958,0.005166
42,44,0.57746,0.012875
48,42,0.446083,0.012292
40,46,0.156333,0.006958
41,31,0.290792,0.005917
41,74,0.781084,0.037292
40,27,0.343917,0.005959
40,49,0.381459,0.012042
42,33,0.256667,0.006375
40,167,0.234625,0.016708
46,39,0.518999,0.013875
42,50,0.370459,0.012167
40,31,0.412084,0.005167
42,76,0.358918,0.015625
40,42,0.265374,0.007083
40,49,0.272083,0.009875
40,31,0.199249,0.006166
40,140,0.673124,0.031291
40,58,0.319583,0.012417
40,60,0.370041,0.011458
40,252,0.273833,0.025708
40,42,0.2345,0.010417
40,64,0.293375,0.00825
40,34,0.386708,0.008208
45,30,0.360957,0.006375
238,30,0.363833,0.007833
22,33,0.296418,0.009542
40,84,0.417708,0.010917
54,32,0.434792,0.007875
40,41,0.628541,0.012958
44,32,0.329917,0.007292
40,38,0.168917,0.007333
197,30,0.185542,0.007417
125,30,0.354375,0.007
40,40,0.469,0.007417
40,142,0.878457,0.039333
40,54,0.695667,0.016167
40,35,0.460375,0.006625
55,30,0.357209,0.006375
40,37,0.346293,0.007542
48,33,0.581959,0.009875
42,47,0.485376,0.011416
42,33,0.329,0.007792
45,102,0.636125,0.029416
40,45,0.144918,0.006292
40,70,0.365332,0.012916
40,389,0.627085,0.065209
40,39,0.228291,0.00625
40,56,0.320917,0.008917
45,35,0.376874,0.008291
36,35,0.140501,0.006875
40,59,0.386124,0.008916
40,38,0.289043,0.009625
40,42,0.314416,0.009417
54,30,0.192791,0.007042
40,63,0.343376,0.011084
40,30,0.266125,0.006042
40,95,0.509874,0.027083
40,36,0.294582,0.007208
41,58,0.365458,0.010917
24,57,0.180582,0.011708
40,95,0.357999,0.018542
40,48,0.338457,0.008083
40,30,0.378918,0.008959
41,60,0.30346,0.008084
40,61,0.525458,0.011875
66,31,0.332082,0.007625
40,34,0.381499,0.006041
40,32,0.330126,0.006875
45,33,0.243166,0.00675
62,31,0.250958,0.005166
696,35,0.384208,0.009458
40,37,0.460042,0.007875
40,91,0.769332,0.020666
40,37,0.221667,0.007375
52,36,0.579251,0.011667
40,95,0.32325,0.013458
53,33,0.754749,0.013791
41,31,0.492042,0.005834
40,34,0.254957,0.005708
42,34,0.312959,0.0085
391,30,0.281877,0.005042
40,204,0.490918,0.015459
66,33,0.286376,0.00675
104,40,0.358584,0.008792
40,35,0.240041,0.007958
42,32,0.348542,0.007417
43,47,0.29575,0.010042
44,30,0.31204,0.006291
40,102,0.730249,0.02525
139,30,0.37125,0.010042
40,61,0.616417,0.017417
42,30,0.300792,0.007125
43,35,0.292083,0.0085
40,30,0.258416,0.005666
40,32,0.36821,0.008334
40,45,0.502042,0.011417
40,62,0.391708,0.010666
40,327,0.651709,0.085
341,30,0.298875,0.005167
40,51,0.499834,0.008917
42,33,0.421959,0.008292
45,31,0.379709,0.006292
40,36,0.198584,0.010125
48,3650,1.04558,0.61625
40,38,0.283542,0.007708
40,58,0.297292,0.008083
42,32,0.141416,0.006125
40,53,0.304249,0.008958
70,29315,11.8524,10.4723
40,34,0.441458,0.007667
48,33,0.581041,0.007041
45,31,0.271666,0.006333
62,31,0.449124,0.006625
54,31,0.463126,0.006167
40,32,0.282792,0.008584
40,62,0.421333,0.008583
64,33,0.437208,0.008167
1,31,0.270458,0.0065
40,140,0.706208,0.047958
41,32,0.250959,0.005667
46,33,0.138834,0.004959
40,34,0.159999,0.005833
40,52,0.327542,0.010708
58,48,0.471917,0.0105
40,35,0.318793,0.007417
49,31,0.308459,0.006542
49,31,0.356499,0.006875
58,44,0.265042,0.01
41,31,0.394709,0.007584
45,37,0.3975,0.010583
40,39,0.632209,0.013584
40,40,0.495499,0.00975
40,30,0.275501,0.006125
48,31,0.331043,0.006459
42,31,0.232709,0.0055
